Id,Name,Level,ParentId,ParentName,DisplayOrder
1,Casting,1,,,1
2,Tumbling,1,,,2
3,5A2 Line 1,1,,,3
4,5A2 Line 2,1,,,4
5,5G0,1,,,5
14,RPY,1,,,6
34,RPY 6B2,1,,,7
17,59B,1,,,8
30,59B Line 2,1,,,9
39,59B Line 3,1,,,10
46,6MA,1,,,11
19,5K8/64A,1,,,12
22,5BA,1,,,13
28,5PA,1,,,14
37,6C2/6MA,1,,,15
42,Sort,1,,,16
44,Shipping,1,,,17
49,5J6,1,,,18
52,6FB,1,,,19
81,Astemo ,1,,,20
6,Machining,2,3,5A2 Line 1,1
8,Machining,2,4,5A2 Line 2,1
10,Machining,2,5,5G0,1
12,Casting,2,1,Casting,1
13,Tumbling,2,2,Tumbling,1
15,Machining,2,14,RPY,1
18,"Assembly, Fuel Pump",2,17,59B,1
20,Machining,2,19,5K8/64A,1
23,Assembly,2,22,5BA,1
31,Machining,2,30,59B Line 2,1
33,Machining,2,28,5PA,1
35,Machining,2,34,RPY 6B2,1
38,Assembly,2,37,6C2/6MA,1
40,Machining,2,39,59B Line 3,1
43,Inspection,2,42,Sort,1
45,Shipping 1,2,44,Shipping,1
47,Machining,2,46,6MA,1
50,Machining,2,49,5J6,1
82,6620-0079-2020,2,81,Astemo ,1
7,Assembly,2,3,5A2 Line 1,2
9,Assembly,2,4,5A2 Line 2,2
11,Assembly,2,5,5G0,2
16,Assembly,2,14,RPY,2
21,Assembly,2,19,5K8/64A,2
24,Machining,2,22,5BA,2
29,Assembly,2,28,5PA,2
32,"Assembly, Cam Holder",2,30,59B Line 2,2
36,Assembly,2,34,RPY 6B2,2
41,Assembly,2,39,59B Line 3,2
48,Assembly,2,46,6MA,2
51,Assembly,2,49,5J6,2
55,Machining,2,52,6FB,2
63,Machining,2,37,6C2/6MA,2
83,6620-0078-9040,2,81,Astemo ,2
26,"Assembly, Cam Holder",2,17,59B,3
54,Assembly,2,52,6FB,3
84,6620-0079-0060,2,81,Astemo ,3
85,6620-0080-5010,2,81,Astemo ,4
86,6620-0080-6010,2,81,Astemo ,5
