	Endpoint	11
5PA - AO	CurrentClosureMethod	Weight
5PA - AO	HasBarcodeScanner	1
5PA - AO	RequiresCompletionConfirm	0
DC1-M01-T1	DefaultScreen	/shop-floor/die-cast/dedicated
DC1-T1	DefaultScreen	/shop-floor/die-cast
MA1-5GOF-ASER	DefaultScreen	/shop-floor/assembly-serialized
MA1-5GOF-MIN	DefaultScreen	/shop-floor/machining-in
MA1-5GOF-MIN	HasBarcodeScanner	1
MA1-5GOF-MOUT	DefaultScreen	/shop-floor/machining-out
MA1-5GOR-MIN	HasBarcodeScanner	1
MA1-COMPBR-AOUT	HasBarcodeScanner	1
MA1-COMPBR-AOUT	DefaultScreen	/shop-floor/assembly-nonserialized
MA1-COMPBR-MIN	DefaultScreen	/shop-floor/assembly-in
MA1-COMPBR-MIN	HasBarcodeScanner	1
MA1-FP6NA-AFIN	HasBarcodeScanner	0
MA1-FP6NA-AFIN	CurrentClosureMethod	Weight
MA1-FP6NA-MIN	HasBarcodeScanner	1
MA1-FPRPY-AFIN	HasBarcodeScanner	0
MA1-FPRPY-AFIN	CurrentClosureMethod	Weight
MA1-FPRPY-MIN	HasBarcodeScanner	1
MA2-59B-AOUT1	CurrentClosureMethod	byCount
MA2-59B-AOUT1	HasBarcodeScanner	0
MA2-59B-AOUT2	HasBarcodeScanner	0
MA2-59B-AOUT2	CurrentClosureMethod	Vision
MA2-59B-MIN	HasBarcodeScanner	1
MA2-5PA-MIN1	HasBarcodeScanner	1
MA2-5PA-MIN2	HasBarcodeScanner	0
MA2-5PA-MIN3	HasBarcodeScanner	1
MA2-64AOP-AOUT	HasBarcodeScanner	1
MA2-64AOP-AOUT	CurrentClosureMethod	Vision
MA2-64AOP-MIN	HasBarcodeScanner	1
MA2-6F9TC-MOUT	HasBarcodeScanner	1
MA2-6F9TC-MOUT	CurrentClosureMethod	Weight
MA2-6FBCHOP-AOUT	CurrentClosureMethod	Vision
MA2-6FBCHOP-AOUT	HasBarcodeScanner	0
MA2-6FBCHOP-MIN	HasBarcodeScanner	1
MA2-6MACH-AOUT1	HasBarcodeScanner	0
MA2-6MACH-AOUT1	CurrentClosureMethod	ByCount
MA2-6MACH-AOUT2	CurrentClosureMethod	ByCount
MA2-6MACH-AOUT2	HasBarcodeScanner	0
MA2-6MACH-AOUT3	HasBarcodeScanner	0
MA2-6MACH-AOUT3	CurrentClosureMethod	Vision
MA2-6MACH-MIN	HasBarcodeScanner	1
MA2-6MAOP-AOUT	HasBarcodeScanner	0
MA2-6MAOP-AOUT	CurrentClosureMethod	Vision
MA2-6MAOP-MIN	HasBarcodeScanner	1
MA2-COS-MOUT	HasBarcodeScanner	1
MA2-COS-MOUT	CurrentClosureMethod	Weight
MA2-RPYCAM1-AIN	RequiresCompletionConfirm	0
MA2-RPYCAM1-AIN	HasBarcodeScanner	0
MA2-RPYCAM1-AOUT1	RequiresCompletionConfirm	0
MA2-RPYCAM1-AOUT1	HasBarcodeScanner	1
MA2-RPYCAM1-AOUT2	RequiresCompletionConfirm	0
MA2-RPYCAM1-AOUT2	HasBarcodeScanner	0
MA2-RPYCAM1-AOUT2	CurrentClosureMethod	Vision
MA2-RPYCAM1-MIN-A	HasBarcodeScanner	0
MA2-RPYCAM1-MIN-B	HasBarcodeScanner	0
MA2-RPYCAM1-MOUT-A	HasBarcodeScanner	1
MA2-RPYCAM1-MOUT-B	RequiresCompletionConfirm	0
MA2-RPYCAM1-MOUT-B	HasBarcodeScanner	0
MA2-RPYCAM2-AIN	HasBarcodeScanner	1
MA2-RPYCAM2-AOUT1	HasBarcodeScanner	0
MA2-RPYCAM2-AOUT1	CurrentClosureMethod	Vision
MA2-RPYCAM2-MIN-A	HasBarcodeScanner	1
MA2-RPYCAM2-MIN-B	HasBarcodeScanner	1
MA2-RPYCAM2-MOUT-A	HasBarcodeScanner	1
MA2-RPYCAM2-MOUT-B	HasBarcodeScanner	0
MA2-V6OP-AOUT	HasBarcodeScanner	1
MA2-V6OP-AOUT	CurrentClosureMethod	Vision
MA2-V6OP-MIN	HasBarcodeScanner	1
RS-MO	HasBarcodeScanner	0
RS-MO	RequiresCompletionConfirm	0
TRIM1-P01-T1	DefaultScreen	/shop-floor/trim/dedicated
TRIM1-T1	DefaultScreen	/shop-floor/trim
